n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,value,state
462,8,0.061652988679205906,6.009974718380312,0.6624074561769746,0.662397808134481,3.200866785899844e-08,0.6245760287469887,3.083434817935579,2.1253411391607098,COMPLETE
696,2,0.11135469245723131,12.10689693600216,0.6849356442713105,0.6727299868828402,3.939402261362697e-07,5.472429642032189e-06,1.9947354703074502,2.176450195959721,COMPLETE
502,4,0.04574042223644632,1.5187479226722465,0.7168578594140872,0.7465447373174766,9.275538076980542e-05,0.11656915613247415,0.31233177533764295,2.154648544180336,COMPLETE
560,6,0.011223502671618719,6.172115948107071,0.6682096494749166,0.6260206371941118,1.7960847528705883,4.905556676028766,10.057690178153985,2.1341937383531016,COMPLETE
413,2,0.05475344508142735,3.738105868191796,0.6488152939379115,0.798070764044508,1.9913367728263115e-08,1.5271567592511939,0.43755171732073594,2.176587328232737,COMPLETE
664,4,0.03641226167642758,5.143828405076927,0.6739417822102108,0.9878338511058234,0.05531681668096111,2.8542399074977594,16.466293382966793,2.15584307285293,COMPLETE
619,8,0.012459466554460985,1.7987863473362906,0.6180909155642152,0.7301321323053057,2.4048726561760165e-05,2.7678419414850017e-06,11.294923622078903,2.1228092927989035,COMPLETE
450,3,0.03851832872733652,1.5252697030515172,0.9208787923016158,0.6298202574719083,3.845031120156877,0.08916674715636552,0.3106296006733534,2.1631105962668005,COMPLETE
203,7,0.05791981807906877,8.880965698768717,0.9085081386743783,0.6296178606936361,1.3130541002425655e-05,1.1036250149900698e-07,13.740794394697666,2.1307754277616646,COMPLETE
636,4,0.011710919068010249,2.5386178456500557,0.7300733288106988,0.8918424713352257,0.0035163599046376523,0.9658611176861261,1.4782014634883789,2.1597883117895975,COMPLETE
874,6,0.020163129133454524,16.32817699779019,0.8262452362725613,0.8392701643962919,4.7588399154699235e-05,0.00028185317575043605,0.15747301878420797,2.1364228451200526,COMPLETE
329,8,0.10488179515564464,2.4664813323439754,0.6125516819803676,0.7157343310557601,2.3951718254647718e-08,0.0011799577823345684,2.9219454959636595,2.1242256413931897,COMPLETE
250,8,0.023479803301167078,1.0715030707433053,0.6080041637319255,0.7299246238055185,2.9292313235494246e-06,0.0001855855438816641,5.453466272334303,2.1161867946796544,COMPLETE
898,7,0.019200501475964873,1.0058416851819785,0.6010110947132862,0.7525194076616432,3.7642574834525025e-06,6.458243615671768e-06,29.374062897977538,2.1216415920663603,COMPLETE
877,6,0.018332060224731217,1.0049511829592594,0.7653656398770852,0.8047595122997021,4.1475986364099636e-06,0.0002664410634084527,5.872385643816486,2.131344839764782,COMPLETE
771,7,0.02404023981752028,1.033468549769335,0.6032151182058363,0.8749492707492084,7.093889828812878e-07,5.704246908471008e-06,26.351633000915314,2.1181123082331057,COMPLETE
203,7,0.024085210893583127,1.278168301358717,0.7911302960155628,0.9250517376065192,4.1932022959611485e-07,1.757807193950478e-08,5.267848026191739,2.1177249787021646,COMPLETE
204,5,0.029143104608364077,2.1675215946142115,0.8505915654206465,0.9991081065667806,0.00039007779785277556,2.1219899323605756e-08,5.897428023228307,2.1345134615674115,COMPLETE
281,7,0.015769564590369614,3.2458203587799135,0.8153012656926322,0.930746924386335,3.2607009457995184e-07,3.826945337197196e-07,0.9752169931307805,2.1229047020438463,COMPLETE
353,8,0.027084152094778262,1.3909132470721774,0.979234705069921,0.9545043515227286,0.0011607064280476239,0.006093812542810934,5.709031108060423,2.118714197166843,COMPLETE
259,5,0.01441855364603477,1.3040219772465664,0.7721232042991959,0.7970820061909771,1.611222583959168e-07,1.2722974438529106e-08,0.9044291772077215,2.1403615601178245,COMPLETE
743,7,0.028197483407964602,1.0416546552025805,0.7074928000494789,0.8750332962023689,1.2856657973590271e-06,3.1235699721952365e-05,27.411306968951116,2.1165505377069374,COMPLETE
365,7,0.029510354643289424,1.8742655152283312,0.7228799691465597,0.902713350220857,3.2858808161234936e-06,5.759694841834961e-05,3.8835643243526494,2.1147503695018397,COMPLETE
753,6,0.03345044080863412,1.8373793166723422,0.7261438442819003,0.8541900659070882,8.539188661594267e-06,7.025989427565069e-05,3.015955105620806,2.1312160029425224,COMPLETE
375,8,0.04321954842892275,3.0437329448207366,0.7100956436941465,0.8996391734603373,1.7297909189210588e-06,4.019297187454645e-05,18.965701289428978,2.105843968155502,COMPLETE
381,8,0.08630842875305722,2.999632414762284,0.7440119327860125,0.9043703044368123,0.00014409488317582516,0.010213784075972102,9.11486919260885,2.1350029065566276,COMPLETE
305,8,0.0447388636392271,4.273305406324697,0.6388970414449617,0.8315974040809949,7.430900287388193e-08,5.831964689973849e-05,16.33511908414619,2.1066238833613635,COMPLETE
318,8,0.07495528549065157,4.474682016586918,0.6393268485764891,0.8326598160383275,1.1698314511324099e-07,2.083405487322143e-05,15.058761998350647,2.1093762886557794,COMPLETE
301,8,0.07448242727008332,4.4490932484803185,0.639241419454042,0.8351178017575615,1.0854701149490176e-07,7.136035413578411e-07,15.76930126362948,2.111127404794045,COMPLETE
478,8,0.07063449017194537,5.879730722332113,0.6438142521422535,0.7763685707206656,1.1709230297341865e-08,0.0025526295726460944,21.141263356892967,2.119890673266985,COMPLETE
