n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,value,state
688,4,0.017571702198527987,5.215273055035314,0.8877875879142252,0.7692425840497844,3.401248341931566,0.014570271595538578,1.5535550078371518,2.269281206747578,COMPLETE
474,4,0.06120357231033418,3.7204514843139487,0.6238711586438274,0.7592177021321725,0.026290563689110865,4.3896063362849525e-07,0.2720290434131154,2.2689554835757915,COMPLETE
572,5,0.04837640783845069,12.739026568155555,0.8897821299442541,0.8444094042710332,0.019253660729732603,8.06548011265573e-06,0.7873981109874906,2.2733067901951967,COMPLETE
360,4,0.047966452438049395,1.317744734800758,0.7734804690718112,0.7723451053318575,0.00019703884633910304,6.79943165296276e-05,0.5936205301534706,2.2761483244383416,COMPLETE
498,8,0.1044527275061078,4.4968103124964305,0.8495811807168445,0.6462473580317183,5.755153203867503e-06,5.412973582738627e-05,13.994353115778663,2.3844736078126076,COMPLETE
375,5,0.11577042763248875,4.740953791962834,0.8451578103051871,0.6482514663961295,0.15428149443351383,0.0026763392031222675,2.2397499939294248,2.3030644390865254,COMPLETE
440,4,0.028186590714547134,7.698262792812552,0.95018273671807,0.8041689349912045,0.0066426370193637275,0.0018768474431821386,3.531520626645136,2.269945270536878,COMPLETE
672,7,0.012296527097708343,9.853131612630825,0.6974665498147495,0.6776891842315084,0.0009545219108698952,7.267962025872851e-08,15.59774797187286,2.3135055284116963,COMPLETE
639,7,0.010408935978944638,5.934357497562094,0.8227140769577155,0.6635838576578891,2.1456348753037104e-07,0.018187196494328716,0.6160601114491001,2.341484421766113,COMPLETE
685,5,0.026287432179459714,15.981778930477203,0.9366679987650866,0.7429590266732705,2.3944227822114236e-08,5.5323883828333925e-06,0.9690679179235471,2.285164800425211,COMPLETE
890,2,0.060387244665344494,1.9104973269466334,0.6185936543974022,0.987499416272778,1.2274665781001046e-05,2.6184966535725547,0.12040411134637845,2.2947446518642938,COMPLETE
230,2,0.018750855422385217,2.6360279414190857,0.6009095885655524,0.8878725300856504,3.5131320501185557,1.3738129653877162e-08,0.10984488191577198,2.392512825706661,COMPLETE
808,3,0.018201285394248822,2.9540276633864937,0.7213502261495482,0.7463089249641224,4.834537316906025,5.419523225722073,0.24985121069447191,2.28472334050415,COMPLETE
761,4,0.07681878103519818,3.3572804237795792,0.9908054636863406,0.8922465010445766,0.12560157111980103,0.1306003519970478,4.440318929139069,2.275432188264513,COMPLETE
200,3,0.02963856735011557,1.0149134642164859,0.6724469991747262,0.7181400306239435,0.28761493685791795,3.717243296908563e-07,0.27939136761931543,2.316589138619254,COMPLETE
542,6,0.04002952596860431,7.37621176965408,0.7651950511005348,0.8073457925132339,0.546894793503004,0.26654465698514873,1.9080841873679848,2.3020321434928332,COMPLETE
312,3,0.016267478596873473,1.9493283741506404,0.6525768902248319,0.6108142710011588,0.007072985831914792,0.00032740228863816103,0.31353710617975805,2.3482842841625593,COMPLETE
463,6,0.08552708413130732,4.317802045869682,0.7588849268942136,0.7094361613665092,0.0003467894285359899,1.01332490927013e-06,5.335387519286128,2.287135689943403,COMPLETE
596,4,0.03946999400784532,2.0887338553620287,0.8078328749595967,0.8696000537942642,0.02621315731180115,0.032278943594075266,27.89505482773719,2.270432853599986,COMPLETE
767,3,0.013863664360363057,5.700231969600544,0.8993609669240192,0.9256250838946446,1.0837527058057863,1.265081812754345e-08,1.3502120440175447,2.279516549955161,COMPLETE
874,6,0.02303402880891384,3.5539399089206443,0.9876498086751269,0.8057631805778792,0.0020071966949440647,0.0012263073343890167,0.4112811821102311,2.309059755330911,COMPLETE
435,4,0.03126576821360383,8.07591012590988,0.9413534528798335,0.794942666560931,0.036301714092942486,0.006385479962670819,4.217110582755385,2.273938038136713,COMPLETE
423,5,0.023140984641332525,10.14763704827171,0.9448012481340196,0.8311762938263828,4.954300258477893e-05,0.4170771792905297,2.9939237793471993,2.279326125083891,COMPLETE
295,4,0.07084379516366174,6.675401723710866,0.9033554446569162,0.7780036593643247,0.0018939277671753084,0.000364782379484155,6.4819823297330235,2.2788725326548924,COMPLETE
498,3,0.03646385585988757,18.542754938332205,0.9588615043436606,0.7479720737771834,0.011569380614894464,0.0491311814345988,8.538026156079107,2.2906807569356897,COMPLETE
388,4,0.06041300191490631,9.48416281252438,0.8753732646836412,0.709087659290058,0.11286431594014672,0.8256103128426892,0.18291244369617674,2.2825134076980564,COMPLETE
535,5,0.02184702369393557,5.150027371571656,0.7312160178074701,0.835714335145805,1.5140325346636874,4.573566470228597e-05,1.4567073564864506,2.269709728672002,COMPLETE
636,5,0.014128673482111033,4.990065931487761,0.7286968451993938,0.945015667912098,1.2202535834935697,4.575469480243531e-06,1.5380048344208574,2.2757906500261633,COMPLETE
714,6,0.022236896206855233,2.621719019707292,0.6438246546192343,0.8411094226686027,1.4743625534809386,5.495193806781371e-07,0.9998551600402796,2.290605337342244,COMPLETE
562,5,0.010333170808533422,3.959576236589695,0.6883188456166254,0.8594504161935049,0.06611831459884285,2.3095304787637665e-05,0.5829904596118485,2.2814602199210703,COMPLETE
